Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,Stress,Creep Life
56.5,6.0,7.0,7.0,3.0,4.5,3.0,8.0,5.0,0.0,0.0,1100,137,2.5073160400764136
62.74,5.53,6.05,2.78,3.0,4.38,2.85,7.77,4.9,0.0,0.0,1100,137,2.5079907248196913
52.2,6.1,14.5,3.5,2.4,4.0,3.9,8.0,5.4,0.0,0.0,950,400,2.5161385767170743
61.65,5.8,10.0,4.2,0.6,4.0,0.0,8.0,5.0,0.65,0.0,1121,103,2.56702636615906
56.65,6.0,12.65,5.0,1.55,4.5,1.6,6.4,5.65,0.0,0.0,950,300,2.5672616923538745
62.74,5.53,6.05,2.78,3.0,4.38,2.85,7.77,4.9,0.0,0.0,1085,137,2.5868122694433757
56.5,6.0,7.0,7.0,3.0,4.5,3.0,8.0,5.0,0.0,0.0,1085,137,2.5869247081448203
62.8,5.6,9.0,6.5,0.6,3.0,0.0,6.5,6.0,0.0,0.0,1100,117,2.5930644316587177
61.65,5.8,10.0,4.2,0.6,4.0,0.0,8.0,5.0,0.65,0.0,982,248,2.5998830720736876
64.0,5.9,5.9,2.9,2.9,4.9,2.0,5.6,5.9,0.0,0.0,1100,137,2.6131015169669127
56.79,6.0,9.0,4.0,1.5,5.0,3.0,7.0,7.0,0.0,0.5,1100,130,2.6473829701146196
58.98,5.0,12.0,4.0,2.0,5.0,0.0,7.0,6.0,0.0,0.0,980,250,2.6532125137753435
62.74,5.53,6.05,2.78,3.0,4.38,2.85,7.77,4.9,0.0,0.0,1070,137,2.6638892986226614
56.65,6.0,12.65,5.0,1.55,4.5,1.6,6.4,5.65,0.0,0.0,1050,150,2.6706168864003255
57.7,6.0,8.0,3.0,4.0,4.0,0.0,9.0,8.0,0.0,0.0,1100,120,2.6877964113812944
60.3,5.7,10.0,4.0,0.6,4.5,0.0,8.0,6.0,0.8,0.0,982,248,2.69284691927723
57.7,6.0,8.0,3.0,4.0,4.0,0.0,9.0,8.0,0.0,0.0,980,250,2.7541953881898382
57.7,6.0,8.0,3.0,4.0,4.0,0.0,9.0,8.0,0.0,0.0,1070,140,2.760648619581356
54.79,6.0,9.0,4.0,1.5,5.0,5.0,7.0,7.0,0.0,0.5,1100,130,2.7641761323903307
58.83,5.0,12.0,4.0,2.0,5.0,0.0,7.0,6.0,0.0,0.0,980,250,2.7702627381705933
60.45,5.7,10.0,3.5,0.6,4.8,0.0,8.0,6.0,0.85,0.0,1121,103,2.7774268223893115
59.8,5.6,5.6,4.6,2.4,6.4,5.0,5.6,5.0,0.0,0.0,1100,137,2.783903579272735
69.97,5.78,1.75,2.0,0.4,6.5,0.0,8.2,5.4,0.0,0.0,1050,150,2.804480189105993
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0.0,0.0,1000,245,2.837588438235511
69.97,5.78,1.75,2.0,0.4,6.5,0.0,8.2,5.4,0.0,0.0,950,300,2.8389120274059985
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0.0,0.0,1100,137,2.858537197569639
60.45,5.7,10.0,3.5,0.6,4.8,0.0,8.0,6.0,0.85,0.0,982,248,2.864511081058392
50.57,5.55,16.5,2.0,2.0,5.95,3.0,8.25,6.0,0.0,0.0,982,248,2.9395192526186187
61.68,6.0,9.0,3.5,1.5,4.0,0.0,8.0,6.0,0.2,0.0,1100,120,2.957607287060095
59.3,5.8,5.8,2.9,3.9,4.9,6.0,5.6,5.8,0.0,0.0,1000,245,2.9695556842208437
59.8,5.6,5.6,4.6,2.4,6.4,5.0,5.6,5.0,0.0,0.0,1000,245,3.0090257420869104
59.3,5.8,5.8,2.9,3.9,4.9,6.0,5.6,5.8,0.0,0.0,1100,137,3.0263698115737183
